 Wvl;         Refl;      St_dev
 978.00000;  10.65333;   1.52096
 979.00000;  11.52267;   1.81842
 980.00000;  11.87800;   1.51835
 981.00000;  11.62067;   1.52208
 982.00000;  11.32267;   1.81733
 983.00000;  11.63933;   1.75198
 984.00000;  11.31533;   1.72440
 985.00000;  11.66333;   1.70991
 986.00000;  12.37067;   1.62834
 987.00000;  11.94533;   1.51243
 988.00000;  11.03067;   1.70273
 989.00000;  10.87800;   1.87438
 990.00000;  11.71400;   1.68290
 991.00000;  12.34133;   1.52442
 992.00000;  11.82200;   1.44777
 993.00000;  11.25000;   1.55271
 994.00000;  11.43067;   1.71927
 995.00000;  11.62933;   1.74633
 996.00000;  12.11267;   1.43756
 997.00000;  12.19533;   1.20334
 998.00000;  11.55400;   1.33039
 999.00000;  11.58800;   2.08884
1000.00000;  12.19067;   1.81236
1001.00000;  11.24600;   1.88129
1002.00000;  11.23267;   1.87443
1003.00000;  11.25067;   1.82817
1004.00000;  11.24467;   1.82468
1005.00000;  11.24533;   1.83284
1006.00000;  11.28067;   1.89887
1007.00000;  11.26867;   1.88080
1008.00000;  11.20267;   1.84623
1009.00000;  11.19067;   1.82727
1010.00000;  11.19933;   1.74035
1011.00000;  11.19533;   1.73979
1012.00000;  11.19867;   1.82119
1013.00000;  11.20400;   1.85282
1014.00000;  11.19267;   1.90183
1015.00000;  11.20400;   1.91514
1016.00000;  11.26267;   1.88591
1017.00000;  11.27733;   1.88343
1018.00000;  11.27933;   1.88123
1019.00000;  11.27533;   1.86968
1020.00000;  11.26800;   1.85480
1021.00000;  11.23667;   1.84933
1022.00000;  11.20600;   1.84804
1023.00000;  11.17133;   1.82988
1024.00000;  11.16000;   1.83700
1025.00000;  11.15800;   1.89734
1026.00000;  11.14133;   1.89062
1027.00000;  11.12467;   1.82849
1028.00000;  11.12267;   1.81137
1029.00000;  11.10867;   1.77754
1030.00000;  11.10467;   1.76888
1031.00000;  11.13733;   1.81771
1032.00000;  11.15733;   1.82715
1033.00000;  11.16933;   1.82337
1034.00000;  11.17533;   1.80763
1035.00000;  11.16733;   1.78814
1036.00000;  11.14133;   1.72941
1037.00000;  11.14133;   1.72935
1038.00000;  11.14067;   1.76215
1039.00000;  11.13400;   1.76560
1040.00000;  11.13667;   1.78186
1041.00000;  11.14267;   1.79269
1042.00000;  11.14267;   1.77631
1043.00000;  11.13800;   1.77274
1044.00000;  11.14733;   1.78524
1045.00000;  11.15000;   1.78658
1046.00000;  11.12867;   1.77808
1047.00000;  11.11800;   1.77895
1048.00000;  11.11467;   1.77430
1049.00000;  11.12467;   1.76053
1050.00000;  11.12067;   1.76930
1051.00000;  11.11600;   1.80378
1052.00000;  11.10600;   1.79996
1053.00000;  11.07800;   1.77778
1054.00000;  11.07933;   1.78857
1055.00000;  11.09933;   1.80039
1056.00000;  11.11000;   1.80833
1057.00000;  11.14133;   1.86451
1058.00000;  11.15333;   1.87570
1059.00000;  11.16000;   1.81738
1060.00000;  11.14467;   1.81074
1061.00000;  11.09867;   1.82696
1062.00000;  11.06067;   1.82345
1063.00000;  11.03200;   1.81058
1064.00000;  10.98267;   1.80597
1065.00000;  10.96800;   1.80033
1066.00000;  10.99000;   1.77054
1067.00000;  10.98400;   1.74184
1068.00000;  10.96933;   1.72547
1069.00000;  10.97133;   1.71840
1070.00000;  10.98267;   1.69289
1071.00000;  10.98000;   1.69602
1072.00000;  10.96867;   1.76513
1073.00000;  10.97600;   1.78380
1074.00000;  10.97600;   1.77800
1075.00000;  10.98133;   1.78010
1076.00000;  11.01000;   1.77956
1077.00000;  11.03133;   1.72693
1078.00000;  11.00733;   1.71449
1079.00000;  11.00933;   1.75381
1080.00000;  11.00933;   1.75734
1081.00000;  11.00267;   1.76569
1082.00000;  10.99933;   1.75876
1083.00000;  11.01533;   1.69387
1084.00000;  11.01333;   1.70034
1085.00000;  10.98533;   1.75013
1086.00000;  10.99267;   1.77443
1087.00000;  11.03400;   1.85165
1088.00000;  11.02933;   1.86623
1089.00000;  11.02533;   1.80004
1090.00000;  11.01667;   1.77655
1091.00000;  10.95000;   1.74692
1092.00000;  10.94133;   1.72072
1093.00000;  10.92667;   1.71907
1094.00000;  10.89933;   1.72201
1095.00000;  10.89200;   1.72451
1096.00000;  10.87933;   1.72502
1097.00000;  10.87800;   1.73325
1098.00000;  10.90733;   1.76270
1099.00000;  10.91533;   1.76524
1100.00000;  10.92733;   1.74864
1101.00000;  10.91600;   1.75987
1102.00000;  10.87600;   1.77673
1103.00000;  10.85800;   1.78455
1104.00000;  10.82667;   1.80582
1105.00000;  10.80533;   1.81684
1106.00000;  10.78267;   1.80343
1107.00000;  10.80600;   1.78119
1108.00000;  10.82400;   1.75482
1109.00000;  10.83400;   1.73242
1110.00000;  10.88267;   1.71453
1111.00000;  10.90800;   1.71429
1112.00000;  10.88600;   1.72402
1113.00000;  10.81133;   1.78848
1114.00000;  10.75400;   1.82585
1115.00000;  10.61533;   1.87704
1116.00000;  10.52933;   1.88316
1117.00000;  10.51400;   1.84569
1118.00000;  10.43333;   1.83783
1119.00000;  10.28400;   1.76753
1120.00000;  10.21133;   1.73893
1121.00000;  10.17133;   1.73722
1122.00000;  10.10067;   1.76411
